id,city,county,state,population,density
8268,Mayersville,Issaquena,Mississippi,242.0,3.4
8269,Mendenhall,Simpson,Mississippi,9799.0,19.9
8270,Midnight,Humphreys,Mississippi,111.0,9.1
8271,Mize,Smith,Mississippi,2660.0,12.0
8272,Natchez,Adams,Mississippi,29526.0,23.5
8273,Newhebron,Jefferson Davis,Mississippi,2560.0,10.2
8274,Pattison,Claiborne,Mississippi,840.0,2.8
8275,Pelahatchie,Rankin,Mississippi,5506.0,16.4
8276,Piney Woods,Rankin,Mississippi,15.0,249.8
8277,Pinola,Simpson,Mississippi,1244.0,6.0
8278,Rolling Fork,Sharkey,Mississippi,3160.0,3.2
8279,Sallis,Attala,Mississippi,2684.0,7.4
8280,Satartia,Yazoo,Mississippi,191.0,1.4
8281,Silver City,Humphreys,Mississippi,716.0,4.9
8282,Tchula,Holmes,Mississippi,3109.0,9.8
8283,Terry,Hinds,Mississippi,9147.0,36.4
8284,Tinsley,Yazoo,Mississippi,0.0,0.0
8285,Tougaloo,Madison,Mississippi,689.0,1085.1
8286,Vaiden,Carroll,Mississippi,2575.0,7.4
8287,Valley Park,Issaquena,Mississippi,79.0,0.3
8288,Vaughan,Yazoo,Mississippi,995.0,4.3
8289,Vicksburg,Warren,Mississippi,29769.0,44.0
8290,Wesson,Copiah,Mississippi,7700.0,13.5
8291,West,Attala,Mississippi,1830.0,4.9
8292,Whitfield,Rankin,Mississippi,800.0,168.9
8293,Yazoo City,Yazoo,Mississippi,20525.0,17.4
8294,Pearl,Rankin,Mississippi,33371.0,269.5
8295,Flowood,Rankin,Mississippi,9429.0,142.3
8296,Byram,Hinds,Mississippi,13731.0,225.6
8297,Buckatunna,Wayne,Mississippi,1784.0,9.4
8298,Chunky,Newton,Mississippi,1394.0,9.0
8299,Clara,Wayne,Mississippi,0.0,0.0
8300,De Kalb,Kemper,Mississippi,4688.0,5.8
8301,Lauderdale,Lauderdale,Mississippi,2175.0,8.3
8302,Louin,Jasper,Mississippi,3224.0,5.9
8303,Noxapater,Winston,Mississippi,2056.0,10.1
8304,Pachuta,Jasper,Mississippi,1112.0,5.5
8305,Paulding,Jasper,Mississippi,333.0,3.3
8306,Porterville,Kemper,Mississippi,461.0,2.0
8307,Scooba,Kemper,Mississippi,1204.0,2.6
8308,Sebastopol,Scott,Mississippi,260.0,89.5
8309,Shubuta,Clarke,Mississippi,3838.0,6.6
8310,Shuqualak,Noxubee,Mississippi,1428.0,4.2
8311,Stonewall,Clarke,Mississippi,1306.0,21.7
8312,Toomsuba,Lauderdale,Mississippi,2795.0,13.0
8313,Vossburg,Clarke,Mississippi,1130.0,6.5
8314,Hattiesburg,Forrest,Mississippi,41755.0,85.4
8315,Bassfield,Jefferson Davis,Mississippi,2682.0,15.5
8316,Bay Springs,Jasper,Mississippi,4969.0,13.7
8317,Beaumont,Perry,Mississippi,2542.0,10.1
8318,Carriere,Pearl River,Mississippi,17393.0,36.7
8319,Ellisville,Jones,Mississippi,12869.0,29.3
8320,Heidelberg,Jasper,Mississippi,4530.0,12.8
8321,Leakesville,Greene,Mississippi,7728.0,11.4
8322,Lucedale,George,Mississippi,28368.0,20.5
8323,Mclain,Greene,Mississippi,632.0,2.1
8324,Moselle,Jones,Mississippi,3897.0,24.1
8325,Neely,Greene,Mississippi,560.0,4.9
8326,New Augusta,Perry,Mississippi,1202.0,8.2
8327,Ovett,Jones,Mississippi,3336.0,12.1
8328,Petal,Forrest,Mississippi,23008.0,72.4
8329,Picayune,Pearl River,Mississippi,28433.0,71.9
8330,Poplarville,Pearl River,Mississippi,12422.0,11.2
8331,Prentiss,Jefferson Davis,Mississippi,5955.0,15.0
8332,Purvis,Lamar,Mississippi,14311.0,34.9
8333,Richton,Perry,Mississippi,6452.0,5.9
8334,Seminary,Covington,Mississippi,5676.0,17.6
8335,Soso,Jones,Mississippi,2124.0,16.7
8336,Stringer,Jasper,Mississippi,1510.0,15.5
8337,Sumrall,Lamar,Mississippi,10998.0,21.5
8338,Foxworth,Marion,Mississippi,5717.0,14.8
8339,Gulfport,Harrison,Mississippi,24091.0,647.8
8340,Bay Saint Louis,Hancock,Mississippi,15281.0,60.9
8341,Diamondhead,Hancock,Mississippi,9360.0,345.1
8342,Stennis Space Center,Hancock,Mississippi,0.0,0.0
8343,Biloxi,Harrison,Mississippi,8170.0,700.9
8344,Diberville,Harrison,Mississippi,12922.0,438.2
8345,Gautier,Jackson,Mississippi,17768.0,242.7
8346,Kiln,Hancock,Mississippi,7907.0,29.8
8347,Moss Point,Jackson,Mississippi,16574.0,31.7
8348,Ocean Springs,Jackson,Mississippi,41748.0,302.6
8349,Vancleave,Jackson,Mississippi,20954.0,29.5
8350,Pascagoula,Jackson,Mississippi,10191.0,614.4
8351,Pass Christian,Harrison,Mississippi,14010.0,62.9
8352,Pearlington,Hancock,Mississippi,1049.0,37.6
8353,Perkinston,Stone,Mississippi,9196.0,8.7
8354,Saucier,Harrison,Mississippi,13937.0,25.3
8355,Waveland,Hancock,Mississippi,6228.0,368.8
8356,Wiggins,Stone,Mississippi,11133.0,17.0
8357,Bogue Chitto,Lincoln,Mississippi,6777.0,17.0
8358,Bude,Franklin,Mississippi,1025.0,121.1
8359,Fernwood,Pike,Mississippi,101.0,268.6
8360,Gloster,Amite,Mississippi,3383.0,7.1
8361,Jayess,Lawrence,Mississippi,5914.0,16.3
8362,Kokomo,Marion,Mississippi,1450.0,14.2
8363,Mccall Creek,Franklin,Mississippi,697.0,3.7
8364,Mccomb,Pike,Mississippi,20071.0,71.8
8365,Oak Vale,Jefferson Davis,Mississippi,790.0,5.6
8366,Osyka,Pike,Mississippi,1464.0,5.9
8367,Roxie,Franklin,Mississippi,2814.0,4.4
8368,Ruth,Lincoln,Mississippi,1403.0,11.2
8369,Smithdale,Amite,Mississippi,2021.0,6.9
8370,Sontag,Lawrence,Mississippi,1000.0,6.5
8371,Tylertown,Walthall,Mississippi,10435.0,12.7
8372,Union Church,Jefferson,Mississippi,1437.0,5.1
8373,Ackerman,Choctaw,Mississippi,3785.0,9.9
8374,Artesia,Lowndes,Mississippi,351.0,215.5
8375,Bellefontaine,Webster,Mississippi,317.0,7.1
8376,Cedarbluff,Clay,Mississippi,1366.0,7.4
8377,Eupora,Webster,Mississippi,5692.0,9.0
8378,French Camp,Attala,Mississippi,819.0,5.1
8379,Kilmichael,Montgomery,Mississippi,1522.0,4.6
8380,Mantee,Webster,Mississippi,1422.0,7.2
8381,Mathiston,Choctaw,Mississippi,2440.0,12.8
8382,Mayhew,Lowndes,Mississippi,0.0,0.0
8383,Pheba,Clay,Mississippi,621.0,3.4
8384,Prairie,Clay,Mississippi,1924.0,10.6
8385,Starkville,Oktibbeha,Mississippi,43243.0,51.6
8386,Mississippi State,Oktibbeha,Mississippi,4421.0,1390.7
8387,Steens,Lowndes,Mississippi,3210.0,35.3
8388,Sturgis,Oktibbeha,Mississippi,1450.0,4.3
8389,Walthall,Webster,Mississippi,134.0,53.1
8390,Weir,Choctaw,Mississippi,1956.0,9.3
8391,Attapulgus,Decatur,Georgia,1638.0,11.6
8392,Blakely,Early,Georgia,8626.0,9.6
8393,Brinson,Decatur,Georgia,2026.0,8.4
8394,Bronwood,Terrell,Georgia,624.0,7.2
8395,Cedar Springs,Early,Georgia,3.0,0.4
8396,Colquitt,Miller,Georgia,6172.0,8.3
8397,Cuthbert,Randolph,Georgia,4543.0,7.9
8398,Donalsonville,Seminole,Georgia,8260.0,16.4
8399,Fort Gaines,Clay,Georgia,1872.0,5.3
8400,Jakin,Early,Georgia,997.0,6.2
8401,Leary,Calhoun,Georgia,856.0,2.3
8402,Sasser,Terrell,Georgia,19.0,48.5
8403,Shellman,Randolph,Georgia,1300.0,4.8
8404,Whigham,Grady,Georgia,3358.0,9.5
8405,Bardstown,Nelson,Kentucky,30528.0,81.1
8406,Bradfordsville,Marion,Kentucky,1628.0,9.8
8407,Buckner,Oldham,Kentucky,521.0,131.2
8408,Campbellsburg,Henry,Kentucky,2422.0,18.0
8409,Coxs Creek,Nelson,Kentucky,6161.0,31.5
8410,Crestwood,Oldham,Kentucky,23009.0,170.6
8411,Eminence,Henry,Kentucky,3962.0,39.5
8412,Finchville,Shelby,Kentucky,833.0,19.7
8413,Fisherville,Jefferson,Kentucky,6293.0,100.1
8414,Glenview,Jefferson,Kentucky,560.0,168.0
8415,Mackville,Washington,Kentucky,705.0,15.1
8416,Masonic Home,Jefferson,Kentucky,495.0,1469.7
8417,Mount Eden,Spencer,Kentucky,1398.0,11.0
8418,Mount Washington,Bullitt,Kentucky,22752.0,293.9
8419,Nerinx,Marion,Kentucky,114.0,137.9
8420,Pewee Valley,Oldham,Kentucky,3406.0,445.5
8421,Pleasureville,Henry,Kentucky,3940.0,16.1
8422,Raywick,Marion,Kentucky,1374.0,12.8
8423,Saint Catharine,Washington,Kentucky,258.0,812.5
8424,Saint Mary,Marion,Kentucky,601.0,3095.9
8425,Sulphur,Henry,Kentucky,373.0,11.5
8426,Turners Station,Henry,Kentucky,1104.0,8.8
8427,Waddy,Shelby,Kentucky,2973.0,20.1
8428,Willisburg,Washington,Kentucky,3021.0,19.1
8429,Battletown,Meade,Kentucky,1034.0,6.6
8430,Brandenburg,Meade,Kentucky,12309.0,68.9
8431,Cloverport,Breckinridge,Kentucky,1982.0,22.5
8432,Custer,Breckinridge,Kentucky,797.0,17.4
8433,Ekron,Meade,Kentucky,2261.0,41.3
8434,Falls Of Rough,Breckinridge,Kentucky,1887.0,6.8
8435,Fort Knox,Hardin,Kentucky,8655.0,94.9
8436,Guston,Meade,Kentucky,2375.0,20.3
8437,Hardinsburg,Breckinridge,Kentucky,6350.0,17.3
8438,Harned,Breckinridge,Kentucky,1049.0,7.1
8439,Lebanon Junction,Bullitt,Kentucky,4750.0,29.8
8440,Mcdaniels,Breckinridge,Kentucky,921.0,35.8
8441,Muldraugh,Meade,Kentucky,1221.0,372.6
8442,Payneville,Meade,Kentucky,1015.0,12.1
8443,Radcliff,Hardin,Kentucky,23539.0,530.5
8444,Rhodelia,Meade,Kentucky,172.0,8.8
8445,Rineyville,Hardin,Kentucky,5666.0,44.4
8446,Shepherdsville,Bullitt,Kentucky,38074.0,129.8
8447,Stephensport,Breckinridge,Kentucky,951.0,16.1
8448,Union Star,Breckinridge,Kentucky,190.0,3.6
8449,Vine Grove,Meade,Kentucky,15626.0,74.8
8450,Westview,Breckinridge,Kentucky,522.0,24.6
8451,Burgin,Mercer,Kentucky,554.0,376.1
8452,Clay City,Powell,Kentucky,6267.0,42.5
8453,Denniston,Menifee,Kentucky,434.0,18.9
8454,Frenchburg,Menifee,Kentucky,3304.0,11.4
8455,Gravel Switch,Marion,Kentucky,1097.0,7.0
8456,Harrodsburg,Mercer,Kentucky,20437.0,35.7
8457,Means,Menifee,Kentucky,815.0,16.6
8458,Morehead,Rowan,Kentucky,22738.0,32.7
8459,Mount Sterling,Montgomery,Kentucky,22425.0,61.3
8460,New Liberty,Owen,Kentucky,209.0,7.2
8461,Nicholasville,Jessamine,Kentucky,44299.0,122.6
8462,North Middletown,Bourbon,Kentucky,110.0,1109.8
8463,Olympia,Bath,Kentucky,891.0,20.1
8464,Owenton,Owen,Kentucky,7125.0,12.6
8465,Owingsville,Bath,Kentucky,7080.0,18.4
8466,Perry Park,Owen,Kentucky,19.0,351.6
8467,Sadieville,Scott,Kentucky,2768.0,13.1
8468,Salt Lick,Bath,Kentucky,2919.0,14.5
8469,Salvisa,Mercer,Kentucky,2350.0,16.9
8470,Slade,Powell,Kentucky,41.0,1.7
8471,Stamping Ground,Scott,Kentucky,3790.0,22.3
8472,Brodhead,Rockcastle,Kentucky,3667.0,31.5
8473,Gray Hawk,Jackson,Kentucky,0.0,0.0
8474,Hustonville,Casey,Kentucky,4814.0,17.3
8475,Mckee,Jackson,Kentucky,7901.0,12.5
8476,Mckinney,Lincoln,Kentucky,0.0,0.0
8477,Paint Lick,Garrard,Kentucky,2417.0,16.8
8478,Ravenna,Estill,Kentucky,1458.0,12.5
8479,Sandgap,Jackson,Kentucky,222.0,5.2
8480,Stanford,Lincoln,Kentucky,12220.0,33.8
8481,Corbin,Whitley,Kentucky,29988.0,76.9
8482,East Bernstadt,Laurel,Kentucky,6148.0,31.6
8483,Keavy,Laurel,Kentucky,1730.0,82.6
8484,Lily,Laurel,Kentucky,4017.0,102.6
8485,Rockholds,Whitley,Kentucky,2552.0,20.0
8486,Siler,Whitley,Kentucky,438.0,6.5
8487,Ages Brookside,Harlan,Kentucky,0.0,0.0
8488,Asher,Leslie,Kentucky,95.0,24.2
8489,Benham,Harlan,Kentucky,523.0,1218.0
8490,Big Laurel,Leslie,Kentucky,27.0,0.3
8491,Bledsoe,Harlan,Kentucky,1286.0,7.3
8492,Cawood,Harlan,Kentucky,699.0,11.5
8493,Chappell,Leslie,Kentucky,0.0,0.0
8494,Coalgood,Harlan,Kentucky,155.0,13.7
8495,Coldiron,Harlan,Kentucky,948.0,22.3
8496,Cranks,Harlan,Kentucky,313.0,4.7
8497,Dayhoit,Harlan,Kentucky,825.0,79.3
8498,Eolia,Letcher,Kentucky,482.0,6.0
8499,Essie,Leslie,Kentucky,777.0,16.5
8500,Evarts,Harlan,Kentucky,4478.0,34.1
8501,Grays Knob,Harlan,Kentucky,24.0,1.8
8502,Gulston,Harlan,Kentucky,259.0,272.5
8503,Harlan,Harlan,Kentucky,5100.0,29.2
8504,Helton,Leslie,Kentucky,458.0,4.2
8505,Holmes Mill,Harlan,Kentucky,64.0,1.6
8506,Hoskinston,Leslie,Kentucky,88.0,2.3
8507,Hulen,Bell,Kentucky,688.0,30.6
8508,Kenvir,Harlan,Kentucky,74.0,250.4
8509,Lejunior,Harlan,Kentucky,17.0,74.3
8510,Loyall,Harlan,Kentucky,1001.0,164.6
8511,Lynch,Harlan,Kentucky,738.0,19.0
8512,Miracle,Bell,Kentucky,874.0,11.0
8513,Mozelle,Leslie,Kentucky,171.0,8.5
8514,Partridge,Letcher,Kentucky,606.0,12.3
8515,Pathfork,Harlan,Kentucky,476.0,7.4
8516,Stinnett,Leslie,Kentucky,1026.0,36.9
8517,Totz,Harlan,Kentucky,627.0,18.7
8518,Wallins Creek,Harlan,Kentucky,2402.0,33.9
8519,Warbranch,Leslie,Kentucky,115.0,1.9
8520,Arjay,Bell,Kentucky,548.0,6.3
8521,Artemus,Knox,Kentucky,781.0,16.6
8522,Barbourville,Knox,Kentucky,11665.0,32.8
8523,Bimble,Knox,Kentucky,905.0,62.9
8524,Bryants Store,Knox,Kentucky,155.0,4.7
8525,Cannon,Knox,Kentucky,625.0,44.3
8526,Closplint,Harlan,Kentucky,767.0,11.0
8527,Flat Lick,Knox,Kentucky,2132.0,13.3
8528,Fourmile,Bell,Kentucky,137.0,8.4
8529,Frakes,Bell,Kentucky,338.0,4.3
8530,Garrard,Clay,Kentucky,145.0,397.7
8531,Girdler,Knox,Kentucky,750.0,53.0
8532,Green Road,Knox,Kentucky,55.0,13.2
8533,Heidrick,Knox,Kentucky,483.0,95.4
8534,Hinkle,Knox,Kentucky,334.0,13.0
8535,Kettle Island,Bell,Kentucky,584.0,24.4
8536,Mary Alice,Harlan,Kentucky,23.0,17.1
8537,Middlesboro,Bell,Kentucky,11635.0,52.1
8538,Roark,Leslie,Kentucky,0.0,0.0
8539,Saul,Perry,Kentucky,0.0,0.0
8540,Scalf,Knox,Kentucky,408.0,17.9
8541,Sextons Creek,Owsley,Kentucky,298.0,7.5
8542,Stoney Fork,Bell,Kentucky,375.0,6.1
8543,Trosper,Knox,Kentucky,40.0,3.5
8544,Latonia,Kenton,Kentucky,20925.0,317.5
8545,Ft Mitchell,Kenton,Kentucky,41040.0,747.0
8546,Erlanger,Kenton,Kentucky,28472.0,949.9
8547,Crittenden,Grant,Kentucky,6247.0,73.9
8548,Cynthiana,Harrison,Kentucky,16416.0,28.1
8549,De Mossville,Pendleton,Kentucky,2161.0,20.4
8550,Dry Ridge,Grant,Kentucky,11522.0,43.5
8551,Flemingsburg,Fleming,Kentucky,7617.0,27.5
8552,Glencoe,Owen,Kentucky,1790.0,29.1
8553,Mayslick,Mason,Kentucky,1758.0,10.2
8554,Morning View,Kenton,Kentucky,2668.0,32.6
8555,Mount Olivet,Robertson,Kentucky,2071.0,9.5
8556,Bellevue,Campbell,Kentucky,5596.0,2386.4
8557,Fort Thomas,Campbell,Kentucky,17409.0,1152.1
8558,Sanders,Carroll,Kentucky,1722.0,16.8
8559,Silver Grove,Campbell,Kentucky,917.0,1109.7
8560,Argillite,Greenup,Kentucky,1854.0,15.6
8561,Catlettsburg,Boyd,Kentucky,8879.0,39.1
8562,Grahn,Carter,Kentucky,123.0,90.1
8563,Greenup,Greenup,Kentucky,9486.0,25.9
8564,Hitchins,Carter,Kentucky,382.0,20.4
8565,Isonville,Elliott,Kentucky,445.0,6.1
8566,Martha,Lawrence,Kentucky,544.0,9.4
8567,Olive Hill,Carter,Kentucky,12301.0,19.6
8568,South Portsmouth,Greenup,Kentucky,843.0,26.2
8569,South Shore,Greenup,Kentucky,5515.0,27.2
8570,Vanceburg,Lewis,Kentucky,6927.0,7.9
8571,Webbville,Lawrence,Kentucky,755.0,3.9
8572,Tollesboro,Lewis,Kentucky,2168.0,17.4
8573,Beauty,Martin,Kentucky,680.0,34.0
8574,Boons Camp,Johnson,Kentucky,737.0,23.9
8575,Debord,Martin,Kentucky,1623.0,41.4
8576,East Point,Floyd,Kentucky,1412.0,32.0
8577,Flatgap,Johnson,Kentucky,1921.0,15.4
8578,Hagerhill,Johnson,Kentucky,2845.0,39.0
8579,Inez,Martin,Kentucky,3375.0,15.6
8580,Keaton,Johnson,Kentucky,322.0,20.1
8581,Lovely,Martin,Kentucky,1062.0,31.4
8582,Lowmansville,Lawrence,Kentucky,641.0,19.7
8583,Meally,Johnson,Kentucky,521.0,42.7
8584,Oil Springs,Johnson,Kentucky,781.0,10.7
8585,Paintsville,Johnson,Kentucky,6520.0,68.3
8586,Pilgrim,Martin,Kentucky,901.0,5.0
8587,River,Johnson,Kentucky,701.0,21.9
8588,Sitka,Johnson,Kentucky,622.0,18.5
8589,Stambaugh,Johnson,Kentucky,708.0,29.3
8590,Thelma,Johnson,Kentucky,847.0,115.0
8591,Tomahawk,Martin,Kentucky,1417.0,20.8
8592,Tutor Key,Johnson,Kentucky,326.0,23.2
8593,Van Lear,Johnson,Kentucky,1024.0,14.7
8594,West Van Lear,Johnson,Kentucky,1058.0,1268.3
8595,Wittensville,Johnson,Kentucky,500.0,47.1
8596,Bays,Breathitt,Kentucky,0.0,0.0
8597,Beattyville,Lee,Kentucky,6446.0,14.6
8598,Clayhole,Breathitt,Kentucky,467.0,4.4
8599,Mistletoe,Owsley,Kentucky,10.0,0.2
8600,Pine Ridge,Wolfe,Kentucky,446.0,10.4
8601,Ricetown,Owsley,Kentucky,76.0,2.0
8602,Rousseau,Breathitt,Kentucky,38.0,1.4
8603,Rowdy,Perry,Kentucky,312.0,15.4
8604,Vancleve,Breathitt,Kentucky,591.0,8.6
8605,Whick,Breathitt,Kentucky,85.0,20.9
8606,Zoe,Lee,Kentucky,146.0,5.3
8607,Cannel City,Morgan,Kentucky,441.0,31.0
8608,Elkfork,Morgan,Kentucky,288.0,6.7
8609,Ezel,Morgan,Kentucky,1243.0,16.3
8610,Royalton,Magoffin,Kentucky,363.0,13.3
8611,Salyersville,Magoffin,Kentucky,10823.0,16.0
8612,South Williamson,Pike,Kentucky,367.0,60.4
8613,Ashcamp,Pike,Kentucky,550.0,17.1
8614,Belcher,Pike,Kentucky,379.0,20.6
8615,Belfry,Pike,Kentucky,2588.0,18.5
8616,Burdine,Letcher,Kentucky,66.0,685.1
8617,Canada,Pike,Kentucky,680.0,23.2
8618,Elkhorn City,Pike,Kentucky,5081.0,28.0
8619,Fedscreek,Pike,Kentucky,354.0,7.9
8620,Fords Branch,Pike,Kentucky,50.0,608.1
8621,Freeburn,Pike,Kentucky,364.0,25.7
8622,Hellier,Pike,Kentucky,169.0,13.3
8623,Huddy,Pike,Kentucky,738.0,105.4
8624,Jenkins,Letcher,Kentucky,3580.0,25.3
8625,Jonancy,Pike,Kentucky,340.0,46.8
8626,Kimper,Pike,Kentucky,1387.0,12.6
8627,Lick Creek,Pike,Kentucky,342.0,9.1
8628,Mcandrews,Pike,Kentucky,529.0,51.2
8629,Mccarr,Pike,Kentucky,482.0,18.5
8630,Majestic,Pike,Kentucky,576.0,30.6
8631,Mouthcard,Pike,Kentucky,1068.0,26.7
8632,Phyllis,Pike,Kentucky,968.0,21.4
8633,Pinsonfork,Pike,Kentucky,1249.0,56.7
8634,Raccoon,Pike,Kentucky,2146.0,33.0
8635,Ransom,Pike,Kentucky,871.0,22.2
8636,Regina,Pike,Kentucky,245.0,18.1
8637,Robinson Creek,Pike,Kentucky,240.0,15.2
8638,Shelbiana,Pike,Kentucky,2065.0,47.2
8639,Shelby Gap,Pike,Kentucky,348.0,18.7
8640,Stone,Pike,Kentucky,67.0,6.2
8641,Stopover,Pike,Kentucky,727.0,11.3
8642,Virgie,Pike,Kentucky,3163.0,26.9
8643,Auxier,Floyd,Kentucky,909.0,128.7
8644,Betsy Layne,Floyd,Kentucky,714.0,84.6
8645,Bevinsville,Floyd,Kentucky,472.0,18.6
8646,Blue River,Floyd,Kentucky,348.0,23.7
8647,Bypro,Floyd,Kentucky,187.0,186.7
8648,Dana,Floyd,Kentucky,583.0,40.9
8649,David,Floyd,Kentucky,585.0,19.4
8650,Drift,Floyd,Kentucky,345.0,19.4
8651,Dwale,Floyd,Kentucky,165.0,80.5
8652,Eastern,Floyd,Kentucky,93.0,9.0
8653,Grethel,Floyd,Kentucky,849.0,34.9
8654,Gunlock,Magoffin,Kentucky,423.0,5.0
8655,Harold,Floyd,Kentucky,3156.0,56.0
8656,Hi Hat,Floyd,Kentucky,728.0,33.1
8657,Hueysville,Knott,Kentucky,1069.0,10.9
8658,Ivel,Floyd,Kentucky,960.0,43.0
8659,Lackey,Knott,Kentucky,129.0,12.1
8660,Minnie,Floyd,Kentucky,181.0,87.5
8661,Prestonsburg,Floyd,Kentucky,10972.0,33.8
8662,Printer,Floyd,Kentucky,1087.0,29.1
8663,Stanville,Pike,Kentucky,856.0,31.3
8664,Teaberry,Floyd,Kentucky,314.0,17.7
8665,Tram,Floyd,Kentucky,292.0,75.7
8666,Weeksbury,Floyd,Kentucky,467.0,30.8
8667,Hazard,Perry,Kentucky,16470.0,45.3
8668,Ary,Perry,Kentucky,515.0,70.3
8669,Avawam,Perry,Kentucky,0.0,0.0
8670,Bear Branch,Leslie,Kentucky,651.0,20.9
8671,Bonnyman,Perry,Kentucky,1367.0,53.7
8672,Buckhorn,Perry,Kentucky,555.0,5.0
8673,Bulan,Knott,Kentucky,1324.0,13.3
8674,Busy,Perry,Kentucky,1215.0,26.8
8675,Carrie,Knott,Kentucky,482.0,37.2
8676,Chavies,Perry,Kentucky,1584.0,45.2
8677,Combs,Perry,Kentucky,34.0,55.6
8678,Cornettsville,Perry,Kentucky,821.0,8.7
8679,Delphia,Perry,Kentucky,125.0,5.2
8680,Dwarf,Perry,Kentucky,21.0,2.9
8681,Emmalena,Knott,Kentucky,943.0,21.0
8682,Gays Creek,Perry,Kentucky,554.0,34.4
8683,Happy,Perry,Kentucky,647.0,55.2
8684,Hyden,Leslie,Kentucky,2225.0,8.2
8685,Jeff,Perry,Kentucky,245.0,26.4
8686,Krypton,Perry,Kentucky,476.0,16.9
8687,Sassafras,Knott,Kentucky,522.0,19.3
8688,Scuddy,Perry,Kentucky,349.0,73.4
8689,Sizerock,Leslie,Kentucky,88.0,6.1
8690,Slemp,Perry,Kentucky,592.0,13.2
8691,Smilax,Leslie,Kentucky,409.0,9.0
8692,Thousandsticks,Leslie,Kentucky,450.0,38.9
8693,Vest,Knott,Kentucky,342.0,8.2
8694,Vicco,Knott,Kentucky,1294.0,23.7
8695,Viper,Perry,Kentucky,2291.0,19.7
8696,Wendover,Leslie,Kentucky,232.0,9.8
8697,Wooton,Leslie,Kentucky,1940.0,23.2
8698,Yeaddiss,Leslie,Kentucky,1205.0,13.0
8699,Yerkes,Perry,Kentucky,95.0,15.3
8700,Blackey,Letcher,Kentucky,1066.0,34.9
8701,Cromona,Letcher,Kentucky,281.0,42.5
8702,Deane,Letcher,Kentucky,201.0,12.8
8703,Ermine,Letcher,Kentucky,776.0,41.7
8704,Hallie,Letcher,Kentucky,180.0,2.8
8705,Hindman,Knott,Kentucky,1928.0,39.0
8706,Isom,Letcher,Kentucky,912.0,69.8
8707,Jackhorn,Letcher,Kentucky,225.0,16.7
8708,Jeremiah,Letcher,Kentucky,701.0,30.5
8709,Leburn,Knott,Kentucky,997.0,20.4
8710,Letcher,Letcher,Kentucky,322.0,16.7
8711,Linefork,Letcher,Kentucky,140.0,2.7
8712,Littcarr,Knott,Kentucky,349.0,23.4
8713,Mcroberts,Letcher,Kentucky,728.0,44.3
8714,Mallie,Knott,Kentucky,979.0,22.8
8715,Mayking,Letcher,Kentucky,1014.0,43.1
8716,Mousie,Knott,Kentucky,561.0,16.7
8717,Neon,Letcher,Kentucky,1187.0,92.4
8718,Pine Top,Knott,Kentucky,306.0,9.9
8719,Pippa Passes,Knott,Kentucky,1391.0,35.8
8720,Premium,Letcher,Kentucky,362.0,19.5
8721,Redfox,Knott,Kentucky,184.0,5.9
8722,Roxana,Letcher,Kentucky,0.0,0.0
8723,Seco,Letcher,Kentucky,119.0,47.5
8724,Dema,Knott,Kentucky,231.0,12.5
8725,Topmost,Knott,Kentucky,947.0,26.7
8726,Paducah,McCracken,Kentucky,30634.0,159.3
8727,Almo,Calloway,Kentucky,2171.0,34.6
8728,Bandana,Ballard,Kentucky,161.0,126.5
8729,Bardwell,Carlisle,Kentucky,2398.0,9.7
8730,Barlow,Ballard,Kentucky,1110.0,9.2
8731,Burna,Livingston,Kentucky,707.0,10.7
8732,Calvert City,Marshall,Kentucky,6092.0,51.0
8733,Dycusburg,Crittenden,Kentucky,14.0,97.0
8734,Eddyville,Lyon,Kentucky,6091.0,27.1
8735,Fancy Farm,Graves,Kentucky,1358.0,10.8
8736,Grand Rivers,Livingston,Kentucky,1866.0,17.6
8737,Hardin,Marshall,Kentucky,2314.0,33.4
8738,Hazel,Calloway,Kentucky,1671.0,14.4
8739,Kevil,Ballard,Kentucky,4897.0,15.8
8740,Kirksey,Calloway,Kentucky,1064.0,12.5
8741,Kuttawa,Lyon,Kentucky,2312.0,20.0
8742,La Center,Ballard,Kentucky,1735.0,12.5
8743,Ledbetter,Livingston,Kentucky,2164.0,52.5
8744,Lovelaceville,Ballard,Kentucky,8.0,3.7
8745,Lowes,Graves,Kentucky,96.0,105.8
8746,Melber,Graves,Kentucky,970.0,15.4
8747,Murray,Calloway,Kentucky,30254.0,55.9
8748,New Concord,Calloway,Kentucky,838.0,7.9
8749,Smithland,Livingston,Kentucky,2018.0,6.8
8750,Symsonia,Graves,Kentucky,1897.0,26.5
8751,Tiline,Livingston,Kentucky,561.0,8.6
8752,West Paducah,McCracken,Kentucky,4275.0,52.8
8753,Wickliffe,Ballard,Kentucky,2438.0,13.8
8754,Wingo,Graves,Kentucky,2398.0,13.7
8755,Adolphus,Allen,Kentucky,2746.0,24.5
8756,Alvaton,Warren,Kentucky,5385.0,55.2
8757,Cave City,Barren,Kentucky,6915.0,29.8
8758,Edmonton,Metcalfe,Kentucky,7320.0,14.7
8759,Eighty Eight,Barren,Kentucky,157.0,19.6
8760,Etoile,Barren,Kentucky,116.0,9.4
8761,Fountain Run,Monroe,Kentucky,1180.0,5.9
8762,Gamaliel,Monroe,Kentucky,1197.0,11.7
8763,Hestand,Monroe,Kentucky,183.0,2.5
8764,Knob Lick,Metcalfe,Kentucky,482.0,7.7
