id,city,county,state,population,density
1867,Wrightstown,Burlington,New Jersey,3976.0,91.8
1868,Trenton,Mercer,New Jersey,786.0,960.4
1869,Joint Base Mdl,Burlington,New Jersey,7781.0,162.2
1870,Lawrence Township,Mercer,New Jersey,31626.0,731.8
1871,Robbinsville,Mercer,New Jersey,16935.0,269.9
1872,Lakewood,Ocean,New Jersey,134008.0,2091.7
1873,Allenwood,Monmouth,New Jersey,644.0,94.2
1874,Bayville,Ocean,New Jersey,22217.0,361.2
1875,Beachwood,Ocean,New Jersey,10933.0,1527.7
1876,Brick,Ocean,New Jersey,32430.0,1046.9
1877,Brielle,Monmouth,New Jersey,4957.0,1090.2
1878,Forked River,Ocean,New Jersey,21164.0,104.6
1879,Island Heights,Ocean,New Jersey,1449.0,1036.0
1880,Lakehurst,Ocean,New Jersey,2855.0,89.8
1881,Lanoka Harbor,Ocean,New Jersey,7715.0,581.8
1882,Lavallette,Ocean,New Jersey,3732.0,830.2
1883,Manasquan,Monmouth,New Jersey,13234.0,1083.6
1884,Mantoloking,Ocean,New Jersey,1411.0,559.0
1885,Ocean Gate,Ocean,New Jersey,1682.0,1443.4
1886,Pine Beach,Ocean,New Jersey,2798.0,1145.7
1887,Point Pleasant Beach,Ocean,New Jersey,25193.0,1733.5
1888,Sea Girt,Monmouth,New Jersey,3612.0,734.0
1889,Seaside Heights,Ocean,New Jersey,3609.0,1063.7
1890,Seaside Park,Ocean,New Jersey,2333.0,189.0
1891,Toms River,Ocean,New Jersey,64313.0,1077.3
1892,Waretown,Ocean,New Jersey,7954.0,170.0
1893,Manchester Township,Ocean,New Jersey,33979.0,213.9
1894,Annandale,Hunterdon,New Jersey,7665.0,197.0
1895,Asbury,Hunterdon,New Jersey,4380.0,69.0
1896,Bloomsbury,Hunterdon,New Jersey,3116.0,85.5
1897,Bound Brook,Somerset,New Jersey,14173.0,1861.5
1898,Dayton,Middlesex,New Jersey,8361.0,585.2
1899,Dunellen,Somerset,New Jersey,14054.0,1068.5
1900,East Brunswick,Middlesex,New Jersey,49027.0,935.5
1901,Edison,Middlesex,New Jersey,48140.0,1751.0
1902,Flagtown,Somerset,New Jersey,514.0,834.8
