zipcode,lat,lng,city_id
01610,42.24645,-71.80968,288
01611,42.23945,-71.87702,289
01612,42.31037,-71.93095,290
01701,42.32195,-71.43796,291
01702,42.28242,-71.43428,291
01718,42.52165,-71.42983,292
01719,42.48837,-71.51779,293
01720,42.48397,-71.43809,292
01721,42.25726,-71.46867,294
01730,42.4995,-71.27799,295
01731,42.46422,-71.28202,296
01740,42.43616,-71.60728,297
01741,42.53001,-71.35128,298
01742,42.46221,-71.36504,299
01745,42.29155,-71.50101,300
01746,42.19775,-71.44499,301
01747,42.12477,-71.535,302
01748,42.2255,-71.53781,303
01749,42.38868,-71.54648,304
01752,42.3494,-71.54681,305
01754,42.4264,-71.45607,306
01756,42.09301,-71.55146,307
01757,42.15723,-71.51978,308
01760,42.28436,-71.34966,309
01770,42.23416,-71.37532,310
01772,42.30144,-71.5304,311
01773,42.42572,-71.31013,312
01775,42.42983,-71.51146,313
01776,42.38456,-71.42316,314
01778,42.3583,-71.35895,315
01801,42.48694,-71.15415,316
01803,42.5028,-71.20147,317
01810,42.64669,-71.16517,318
01821,42.54999,-71.25206,319
01824,42.59156,-71.35553,320
01826,42.68323,-71.30063,321
01827,42.67643,-71.50052,322
01830,42.7959,-71.05323,323
01832,42.79099,-71.13133,323
01833,42.72409,-70.9821,324
01834,42.75198,-71.01486,325
01835,42.75292,-71.08602,323
01840,42.70695,-71.16014,326
01841,42.71077,-71.16494,326
01843,42.68985,-71.16095,326
01844,42.73426,-71.18858,327
01845,42.67132,-71.08669,328
01850,42.65569,-71.30292,329
01851,42.62915,-71.33674,329
01852,42.63231,-71.29538,329
01854,42.64939,-71.34827,329
01860,42.83858,-71.01194,330
01862,42.57427,-71.29437,331
01863,42.63274,-71.39132,332
01864,42.58156,-71.08759,333
01867,42.53505,-71.1055,334
01876,42.61206,-71.22733,335
01879,42.66626,-71.42911,336
01880,42.50348,-71.06559,337
01886,42.58642,-71.44008,338
01887,42.56091,-71.16541,339
01890,42.45177,-71.14628,340
01901,42.46125,-70.94639,341
